date,bitcoin,
13/04/2013,3016.568261,
14/04/2013,2585.629938,
15/04/2013,2424.028067,
16/04/2013,2100.824325,
17/04/2013,1885.355163,
18/04/2013,1777.620582,
19/04/2013,1454.41684,
20/04/2013,1131.213098,
21/04/2013,1185.080388,
22/04/2013,1077.345807,
23/04/2013,1346.682259,
24/04/2013,1238.947679,
25/04/2013,1131.213098,
26/04/2013,1077.345807,
27/04/2013,861.876646,
28/04/2013,969.6112267,
29/04/2013,915.7439364,
30/04/2013,861.876646,
01/05/2013,1077.345807,
02/05/2013,1185.080388,
03/05/2013,1131.213098,
04/05/2013,915.7439364,
05/05/2013,861.876646,
06/05/2013,915.7439364,
07/05/2013,861.876646,
08/05/2013,808.0093556,
09/05/2013,808.0093556,
10/05/2013,808.0093556,
11/05/2013,700.2747749,
12/05/2013,700.2747749,
13/05/2013,808.0093556,
14/05/2013,808.0093556,
15/05/2013,915.7439364,
16/05/2013,808.0093556,
17/05/2013,808.0093556,
18/05/2013,754.1420652,
19/05/2013,915.7439364,
20/05/2013,861.876646,
21/05/2013,700.2747749,
22/05/2013,646.4074845,
23/05/2013,592.5401941,
24/05/2013,700.2747749,
25/05/2013,538.6729037,
26/05/2013,538.6729037,
27/05/2013,592.5401941,
28/05/2013,754.1420652,
29/05/2013,808.0093556,
30/05/2013,754.1420652,
31/05/2013,700.2747749,
01/06/2013,538.6729037,
02/06/2013,646.4074845,
03/06/2013,592.5401941,
04/06/2013,538.6729037,
05/06/2013,538.6729037,
06/06/2013,484.8056134,
07/06/2013,592.5401941,
08/06/2013,538.6729037,
09/06/2013,700.2747749,
10/06/2013,592.5401941,
11/06/2013,646.4074845,
12/06/2013,592.5401941,
